MATERIAL_NUMBER,DESCRIPTION,UNIT,MATERIAL_GROUP,LIST_PRICE,CURRENCY,WEIGHT_KG,ACTIVE
MAT-30000,Feder 95-996,ST,HALB,4036.93,EUR,89.331,Y
MAT-30001,Sensor 44-129,,ROH,3766.99,EUR,,Y
MAT-30002,Flansch 10-277,M,DIENSTL,3533.94,EUR,35.462,
MAT-30003,Ventil 21-303,M,ROH,2350.7,EUR,48.031,Y
MAT-30004,Pumpe 43-441,,,378.13,EUR,,Y
MAT-30005,Ventil 18-739,,,4381.03,EUR,,Y
MAT-30006,Feder 52-449,KG,HALB,2723.49,EUR,148.436,Y
MAT-30007,Buchse 29-959,L,FERT,3226.69,EUR,34.42,Y
MAT-30008,Buchse 70-196,,HALB,861.24,EUR,,Y
MAT-30009,Buchse 69-910,PCE,ROH,3711.93,EUR,70.789,Y
MAT-30010,Schraube 34-696,BOX,DIENSTL,2058.19,EUR,112.629,Y
MAT-30011,Sensor 78-439,ST,HALB,3259.76,EUR,33.155,Y
MAT-30012,Platte 98-565,KG,HALB,4438.12,EUR,149.301,Y
MAT-30013,Rohr 30-163,BOX,FERT,3721.55,EUR,107.445,Y
MAT-30014,Buchse 49-506,SET,FERT,250.93,EUR,91.386,Y
MAT-30015,Schraube 51-626,KG,DIENSTL,3947.82,EUR,69.269,Y
MAT-30016,Ventil 74-835,M,DIENSTL,3223.59,EUR,79.394,Y
MAT-30017,Ventil 94-171,L,VERP,300.66,EUR,120.531,Y
MAT-30018,Pumpe 50-972,SET,VERP,3466.56,EUR,55.757,Y
MAT-30019,Zylinder 50-733,,,3461.28,EUR,,Y
MAT-30020,Zylinder 45-236,,,4415.21,EUR,,Y
MAT-30021,Rohr 18-577,,,2959.49,EUR,,Y
MAT-30022,Platte 53-547,SET,ROH,3221.57,EUR,110.402,
MAT-30023,Zylinder 95-238,M,HALB,3683.5,EUR,90.554,Y
MAT-30024,Flansch 32-496,M,FERT,555.15,EUR,36.431,Y
MAT-30025,Ventil 21-365,SET,VERP,2127.72,EUR,143.46,Y
MAT-30026,Dichtung 69-502,KG,DIENSTL,871.87,EUR,143.737,Y
MAT-30027,Feder 75-446,,,2307.94,EUR,,Y
MAT-30028,Profil 29-975,SET,DIENSTL,3819.07,EUR,102.396,Y
MAT-30029,Schraube 10-983,BOX,FERT,2729.57,EUR,134.911,Y
MAT-30030,Lager 39-968,M,FERT,1686.23,EUR,52.939,Y
MAT-30031,Ventil 39-112,SET,HILF,3400.26,EUR,36.663,Y
MAT-30032,Buchse 16-845,M,FERT,2270.72,EUR,48.893,Y
MAT-30033,Dichtung 27-345,BOX,ROH,1554.08,EUR,126.581,Y
MAT-30034,Zylinder 27-977,SET,HILF,2936.24,EUR,7.21,Y
MAT-30035,Sensor 68-447,SET,HALB,3282.62,EUR,54.142,Y
MAT-30036,Ventil 51-126,,,1665.44,EUR,,Y
