LEGACY_ID,COMPANY_NAME,STREET,POSTAL_CODE,CITY,COUNTRY,PHONE,EMAIL,VAT_ID,IBAN,PAYMENT_TERMS,CREDIT_LIMIT,CURRENCY
KD-10000,Fischer GmbH,Schillerstraße 24,68161,Mannheim,DE,+49 0621 2171979,info@fischer.com,DE162275869,DE21781068711922121676,IMMEDIATE,87781.24,EUR
KD-10001,Maschinenbaubetrieb Weber OHG,Goethestraße 144,,Bonn,DE,,,DE16252221,,NET14,25095.86,EUR
KD-10002,Wagner OHG,Goethestraße 64,53111,Bonn,DE,+49 0231 7066345,info@wagner.com,DE764656492,DE50376433107578688354,NET14,141303.91,EUR
KD-10003,Textilbetrieb Hoffmann KG,Marktplatz 11,04109,Leipzig,DE,+49 089 9203439,info@textilbetrieb.com,DE178598835,DE31258465207493702076,NET30,154091.32,EUR
KD-10004,Chemiebetrieb Wolf OHG,Goethestraße 148,53111,Bonn,DE,+49 040 2017864,info@chemiebetrieb.com,DE589846746,DE44192292064607634174,2/10NET30,60496.13,EUR
KD-10005,Schäfer & Müller KG,Industriestraße 43,45127,Essen,DE,+49 0621 9330000,info@schäfer.com,DE630098818,DE41179127282234510745,2/10NET30,83320.63,EUR
KD-10006,ITbetrieb Fischer e.K.,Schillerstraße 60,28195,Bremen,DE,+49 089 3538365,info@itbetrieb.de,DE833068297,DE29610619665113424221,NET30,99567.73,EUR
KD-10007,Koch & Schulz GmbH,Marktplatz 102,53111,Bonn,DE,+49 030 8661210,info@koch.net,DE496483003,DE26918476397727384337,2/10NET30,81853.4,EUR
KD-10008,Kaiser & Schmidt GmbH,Ringstraße 7,79098,Freiburg im Breisgau,DE,+49 089 2702289,info@kaiser.de,DE218034622,DE23556412283580103945,NET30,175494.81,EUR
KD-10009,Kaiser IT KG,Industriestraße 88,97070,Würzburg,DE,+49 040 3417890,info@kaiser.com,DE223859888,DE71755073857296376791,NET60,98331.28,EUR
KD-10010,Schwarz Automotive OHG,Ringstraße 58,70173,Stuttgart,DE,+49 0711 3802500,info@schwarz.com,DE000000000,DE99962908694707952786,IMMEDIATE,110605.59,EUR
KD-10011,Automotivebetrieb Wolf AG,Goethestraße 121,76133,Karlsruhe,DE,+49 030 1468706,info@automotivebetrieb.net,DE343459673,DE55368325377518208696,NET60,42760.76,EUR
KD-10012,Schäfer KG,Ringstraße 22,97070,Würzburg,DE,+49 030 9044229,info@schäfer.com,DE343573855,DE36730930676139813853,NET30,182406.54,EUR
KD-10013,Lang Bau e.K.,Bahnhofstraße 122,40213,Düsseldorf,DE,+49 089 8807342,,,DE6121397668,NET60,35402.92,EUR
KD-10014,Fischer e.K.,Schillerstraße 84,55116,Mainz,DE,+49 0221 5915164,info@fischer.com,DE249519330,DE13682249164753401357,NET60,111148.79,EUR
